architecture,log,setting,freezed_layers,dls,mae,mae_denormalised,nb_worst_situs
GPT,BPIC15_1.xes,helpdesk,['0'],0.0450,0.4156,404.6302,8586
GPT,BPIC15_1.xes,RTFMP,"['0', '1', '2', '3']",0.0146,0.5156,501.9624,8372
GPT,BPIC15_1.xes,RTFMP,"['0', '1', '2']",0.0118,0.3341,325.2568,9358
GPT,BPIC15_1.xes,RTFMP,"['1', '2', '3']",0.0073,0.3609,351.3056,9581
GPT,BPIC15_1.xes,RTFMP,"['0', '2', '3']",0.0138,1.5588,1517.4706,8771
GPT,BPIC15_1.xes,RTFMP,"['0', '1', '3']",0.0034,0.5450,530.5964,9613
GPT,BPIC15_1.xes,RTFMP,"['0', '1']",0.0069,0.2016,196.2630,9520
GPT,BPIC15_1.xes,RTFMP,['0'],0.0063,0.3178,309.3740,9534
GPT,BPIC15_1.xes,RTFMP_filtered,"['0', '1', '2']",0.0185,0.2587,251.8131,8671
GPT,BPIC15_1.xes,RTFMP_filtered,['0'],0.0116,0.5265,512.5579,9306
GPT,BPI_Challenge_2012.xes.gz,base,,0.1647,0.6211,63.8837,43524
GPT,BPI_Challenge_2012.xes.gz,helpdesk,"['0', '1', '2', '3']",0.1525,0.6150,63.2542,43542
GPT,BPI_Challenge_2012.xes.gz,RTFMP,"['0', '1', '2', '3']",0.0450,2.4248,249.3876,49597
GPT,BPI_Challenge_2013_closed_problems.xes.gz,BPIC15,"['0', '1', '2']",0.5417,0.1502,338.6852,62
GPT,BPI_Challenge_2013_closed_problems.xes.gz,BPIC15,['0'],0.5869,0.0855,192.6944,28
GPT,BPI_Challenge_2013_closed_problems.xes.gz,base,,0.4757,0.3176,716.0429,453
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '2', '3']",0.5590,0.1571,354.2439,34
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '2']",0.5893,0.0708,159.6640,2
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['1', '2', '3']",0.4887,0.0966,217.7198,162
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '2', '3']",0.4640,0.3140,707.9658,456
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1', '3']",0.5156,0.2262,509.9830,71
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,"['0', '1']",0.6853,0.0486,109.5223,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,helpdesk,['0'],0.6728,0.0573,129.0963,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '2', '3']",0.6465,0.0442,99.6901,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '2']",0.6472,0.0584,131.7903,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['1', '2', '3']",0.6050,0.0757,170.6687,5
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '2', '3']",0.6891,0.0494,111.3329,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1', '3']",0.7235,0.0399,90.0755,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,"['0', '1']",0.4886,0.2051,462.4095,74
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP,['0'],0.7165,0.0442,99.6783,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,"['0', '1', '2']",0.6632,0.0525,118.3528,0
GPT,BPI_Challenge_2013_closed_problems.xes.gz,RTFMP_filtered,['0'],0.4678,0.2766,623.6430,463
GPT,BPI_Challenge_2013_incidents.xes.gz,BPIC15,"['0', '1', '2']",0.2812,0.3901,281.7425,7097
GPT,BPI_Challenge_2013_incidents.xes.gz,BPIC15,['0'],0.2868,0.4068,293.8332,6986
GPT,BPI_Challenge_2013_incidents.xes.gz,base,,0.2398,0.2564,185.1805,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2', '3']",0.2555,0.2039,147.2899,6771
GPT,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '2']",0.2580,0.0508,36.6960,6772
GPT,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['1', '2', '3']",0.2498,0.6965,503.0206,6772
GPT,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '2', '3']",0.2317,0.2773,200.2776,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,helpdesk,"['0', '1', '3']",0.0637,1.2103,874.1276,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2', '3']",0.2249,0.0282,20.3641,8496
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '2']",0.2920,0.1735,125.3308,6303
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['1', '2', '3']",0.2857,0.2240,161.8106,6771
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '2', '3']",0.2536,0.1703,123.0248,4284
GPT,BPI_Challenge_2013_incidents.xes.gz,RTFMP,"['0', '1', '3']",0.2794,0.1284,92.7200,6024
